performance,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,duration,lifetime_gross,nrOfNewsArticles,nrOfNominations,nrOfPhotos,nrOfUserReviews,nrOfWins,ratingCount,ratingInteger,title,year
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,45408703,985,3,134,777,0,379114,8,SCARFACE,1983
Success,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9600,51973029,242,13,66,500,33,198201,8,AMADEUS,1984
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13740,5321508,187,4,49,461,13,159607,8,ONCE UPON A TIME IN AMERICA,1984
Success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6420,38371200,3869,6,67,602,5,413108,8,THE TERMINATOR,1984
Success,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6960,210609762,3628,24,78,680,13,478445,9,BACK TO THE FUTURE,1985
Success,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9720,4135750,106,18,25,220,28,58697,8,RAIN,1985
Success,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8220,85160248,2150,21,95,998,16,353899,9,ALIENS,1986
Success,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7200,138530565,467,10,47,476,22,217699,8,PLATOON,1986
Success,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5340,52287414,903,10,60,536,3,198139,8,STAND BY ME,1986
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6960,46357676,621,7,53,621,7,334586,8,FULL METAL JACKET,1987
Success,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5880,30857814,958,8,71,662,5,222749,8,THE PRINCESS BRIDE,1987
Success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7860,83008852,2360,2,63,667,6,431906,8,DIE HARD,1988
Success,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7620,197171806,362,19,66,440,4,364585,8,INDIANA JONES AND THE LAST CRUSADE,1989
Success,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8760,46836214,1504,23,68,883,40,515242,9,GOODFELLAS,1990
Success,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5040,218967620,3057,19,81,310,21,208331,8,BEAUTY AND THE BEAST,1991
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7080,130742922,1076,30,80,798,44,584102,9,THE SILENCE OF THE LAMBS,1991
Success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8220,205881154,855,19,71,869,20,523543,9,TERMINATOR 2: JUDGMENT DAY,1991
Success,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5940,2832029,1603,9,72,855,11,454684,8,RESERVOIR DOGS,1992
Success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7860,101157447,568,20,67,453,40,205938,8,UNFORGIVEN,1992
Success,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6060,70906973,1237,7,55,542,6,309177,8,GROUNDHOG DAY,1993
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7980,25096862,318,15,25,139,9,74591,8,IN THE NAME OF THE FATHER,1993
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11700,96065768,857,25,52,1095,70,599579,9,SCHINDLER'S LIST,1993
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8520,330252182,1908,46,56,1133,38,799314,9,FORREST GUMP,1994
Success,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5340,422783777,2908,22,111,542,25,408078,9,THE LION KING,1994
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9240,107928762,3824,46,87,1818,62,911042,9,PULP FICTION,1994
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520,28341469,1913,15,66,3046,15,1183395,9,THE SHAWSHANK REDEMPTION,1994
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6300,5535405,763,2,18,351,1,119333,8,BEFORE SUNRISE,1995
Success,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10620,75609945,975,20,89,1008,19,523797,8,BRAVEHEART,1995
Success,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10680,42512375,550,7,69,498,3,236730,8,CASINO,1995
Success,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,67436818,1030,0,64,841,0,324264,8,HEAT,1995
Success,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860,191796233,5068,13,121,311,19,410650,8,TOY STORY,1995
Success,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6360,23341568,1212,7,53,1110,29,523742,9,THE USUAL SUSPECTS,1995
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5880,24611975,815,32,30,752,60,310335,8,FARGO,1996
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5640,16491080,1343,15,71,482,19,343921,8,TRAINSPOTTING,1996
Success,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7020,17451873,1394,9,73,972,1,380503,8,THE BIG LEBOWSKI,1998
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7560,138433435,1462,37,73,611,18,414269,8,GOOD WILL HUNTING,1997
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8280,64616940,82,48,59,591,78,319796,8,L.A. CONFIDENTIAL,1997
Success,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6180,125618201,702,37,113,789,32,455656,8,THE TRUMAN SHOW,1998
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7140,6719864,472,9,42,1344,3,550302,9,AMERICAN HISTORY X,1998
Success,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11340,136801374,808,23,45,1290,15,499240,9,THE GREEN MILE,1999
Success,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10680,315544750,801,90,220,4928,82,871819,9,THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,2001
Success,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10140,216540909,1841,56,129,2191,58,600405,9,SAVING PRIVATE RYAN,1998
Success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8160,171479930,1931,36,123,3470,29,841150,9,THE MATRIX,1999
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8340,37030102,2613,13,215,2676,5,900388,9,FIGHT CLUB,1999
Success,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060,377845905,1294,74,230,3049,122,845383,9,THE LORD OF THE RINGS: THE RETURN OF THE KING,2003
Success,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10740,342551365,527,83,164,2381,76,760587,9,THE LORD OF THE RINGS: THE TWO TOWERS,2002
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6420,293506292,1500,37,50,2019,32,516468,8,THE SIXTH SENSE,1999
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7320,130096601,2285,74,88,2648,91,602828,9,AMERICAN BEAUTY,1999
Success,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9300,187705427,2447,80,197,2277,51,661296,9,GLADIATOR,2000
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6120,3635482,918,36,134,1842,27,413539,8,REQUIEM FOR A DREAM,2000
Success,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,30328156,902,5,132,696,4,432193,8,SNATCH,2000
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6780,1478493,1329,12,58,2031,11,430315,8,DONNIE DARKO,2001
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9000,32572577,700,47,74,718,49,331248,9,THE PIANIST,2002
Success,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,380843261,2563,37,92,804,37,451631,8,FINDING NEMO,2003
Success,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6660,70099045,3019,43,97,2044,16,509895,8,KILL BILL: VOL. 1,2003
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100,170742341,1192,51,85,1123,28,389925,8,A BEAUTIFUL MIND,2001
Success,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8580,305413918,429,71,125,2072,28,572501,8,PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL,2003
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6480,34400301,1324,54,52,1448,46,475849,8,ETERNAL SUNSHINE OF THE SPOTLESS MIND,2004
Success,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9180,120540719,7896,63,394,1391,76,561706,8,INGLOURIOUS BASTERDS,2009
Success,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,206852432,6136,44,202,2607,9,659591,8,BATMAN BEGINS,2005
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4800,5820649,719,12,34,467,8,113580,8,BEFORE SUNSET,2004
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7260,23530892,461,34,27,582,14,195628,8,HOTEL RWANDA,2004
Success,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7440,74103820,5239,29,212,1677,21,491210,8,SIN CITY,2005
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7920,100492203,1457,34,48,1068,58,334315,8,MILLION DOLLAR BABY,2004
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9420,2197694,335,18,3,294,16,36778,9,RANG DE BASANTI,2006
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9060,132384315,3043,63,83,1954,64,598844,9,THE DEPARTED,2006
Success,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180,415004880,5842,44,97,657,36,356405,9,TOY STORY 3,2010
Success,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6900,227471070,1639,27,82,790,17,350787,8,THE BOURNE ULTIMATUM,2007
Success,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9120,534858444,17229,69,107,3930,94,1148515,9,THE DARK KNIGHT,2008
